Kommune;Indikator;Indikator_Original;Einheit;Jahr;Wert;Dateiname
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2021;7.6;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2022;7.2;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Existenzgründungen;Existenzgründungen (Neuerrichtungen je 1.000 Einwohner:innen);Neuerrichtungen je 1.000 Einwohner:innen;2023;7.2;bochum_Existenzgruendungen.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2016;41.8;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2017;31.7;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2018;24.6;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2019;44.4;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2020;45.7;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2021;47.5;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2022;54.0;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Fertiggestellte Wohngebäude mit erneuerbarer Energie;Fertiggestellte Wohngebäude mit erneuerbarer Energie (%);%;2023;65.5;bochum_Wohngebaeude_erneuerbare_Heizenergie.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2016;-138.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2017;-109.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2018;138.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2019;108.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2020;-47.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2021;79.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2022;131.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Finanzmittelsaldo;Finanzmittelsaldo (Euro je Einwohner:in);Euro je Einwohner:in;2023;-25.0;bochum_Finanzmittelsaldo.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2016;69.6;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2017;69.4;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2018;69.6;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2019;69.8;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2020;70.1;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2021;70.4;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2022;70.3;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächeninanspruchnahme;Flächeninanspruchnahme (%);%;2023;70.0;bochum_Flaecheninanspruchnahme.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2016;277.8;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2017;276.5;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2018;278.0;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2019;278.0;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2020;280.3;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2021;282.2;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2022;279.8;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Flächennutzungsintensität;Flächennutzungsintensität (qm/Einwohner:in);qm/Einwohner:in;2023;278.2;bochum_Flaechennutzungsintensitaet.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2016;15.3;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2017;16.0;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2018;16.9;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2019;17.4;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2020;18.1;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2021;18.8;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2022;19.4;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Hochqualifizierte am Arbeitsort;Hochqualifizierte am Arbeitsort (%);%;2023;20.1;bochum_Hochqualifizierte_am_Arbeitsort.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2016;20.6;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2017;21.3;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2018;22.8;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2019;23.2;bochum_Jugendarmut.csv
Bochum, kreisfreie Stadt;Jugendarmut;Jugendarmut (%);%;2020;23.5;bochum_Jugendarmut.csv
